Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Impact
1500,,,,,Katla,Iceland-S,Iceland,73.33.00,-20.23.00,1490,Subglacial volcano,4,,,,,,,,,1,,,1
1510,7,25,,,Hekla,Iceland-S,Iceland,79.23.00,-30.06.00,1490,Stratovolcano,4,T,1,1,,,,,,,,,1
1536,3,26,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,3,T,1,1,,,,,,,,,1
1538,9,29,,,Campi Flegrei,Italy,Italy,53.47.00,16.19,458,Caldera,3,T,24,1,,,,,,,,,1
1541,9,11,,,Agua,Guatemala,Guatemala,21.45,-102.23.00,3760,Stratovolcano,,m,1300,4,,,,,,,,,4
1550,11,,,,Dukono,Halmahera-Indonesia,Indonesia,12.39,141.38.00,1273,Complex volcano,3,,,1,,,,,,,,,1
1550,,,5863,,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,3,,,,,,,,,1,,,1
1564,12,31,,,Gamkonora,Halmahera-Indonesia,Indonesia,1.38,127.53.00,1635,Stratovolcano,3,,,1,,,,,,,,,1
1565,8,,,9788,Pacaya,Guatemala,Guatemala,20.22,-100.01.00,2569,Complex volcano,3,,,,,,,,,1,,,1
1566,10,31,,,Kirishimayama,Kyushu-Japan,Japan,46.34.00,144.22.00,1700,Shield volcano,3,,,3,,,,,,,,,3
1568,,,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13.00,160.22.00,485,Stratovolcano,3,"P,T,M",1001,4,,,,,,,,,4
1570,,,,,Mombacho,Nicaragua,Nicaragua,24.46.00,-101.08.00,1344,Stratovolcano,,A,400,3,,,,,,,,,3
1572,,,,,Taal,Luzon-Philippines,Philippines,14.11,136.38.00,311,Stratovolcano,3,L,,,,,,,,2,,,2
1576,,,,,Colima,Mexico,Mexico,27.34.00,-104.02.00,3850,Stratovolcano,3,,,1,,,,,,,,,1
1580,5,1,,,Sao Jorge,Azores,Portugal,39.05.00,-28.08.00,1053,Fissure vent,3,P,10,1,,,,,,,,,1
1581,12,26,,,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,4,,,,,,,,,1,,,1
1586,,,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,5,,10000,4,,,,,,,,,4
